employee_id,age,gender,marital_status,department,job_role,job_level,monthly_income,hourly_rate,years_at_company,years_in_current_role,years_since_last_promotion,work_life_balance,job_satisfaction,performance_rating,training_hours_last_year,overtime,project_count,average_hours_worked_per_week,absenteeism,work_environment_satisfaction,relationship_with_manager,job_involvement,distance_from_home,number_of_companies_worked,attrition
60,53,0,2,0,0,4,11238,73,17,1,0,3,2,2,14,0,6,54,11,3,3,4,10,3,0
61,29,1,0,2,1,2,6661,40,18,2,5,2,3,2,79,0,6,46,17,3,1,1,13,1,0
62,55,0,0,2,3,3,5564,88,4,12,3,2,4,3,84,1,6,58,7,1,3,4,29,4,1
63,33,0,2,3,0,5,7927,83,20,5,8,1,5,2,24,0,8,45,2,3,4,3,46,1,0
64,50,0,1,1,1,5,13858,53,1,1,1,3,2,1,87,0,2,42,13,1,1,1,23,3,0
65,34,1,2,4,3,2,18295,15,13,8,9,3,3,4,15,0,2,41,2,4,3,3,23,2,0
66,27,0,0,1,1,1,4452,71,29,4,4,2,1,1,48,1,6,39,3,3,1,4,27,4,0
67,33,1,2,3,2,3,9179,62,24,3,4,3,4,2,72,1,7,47,1,4,1,2,44,4,0
68,42,1,0,0,0,4,5454,86,10,10,5,1,5,2,78,1,6,49,13,2,4,3,6,3,0
69,59,1,2,1,1,2,7060,35,28,2,4,2,2,1,47,0,3,34,17,3,3,2,19,2,0
70,40,1,1,2,0,2,17747,45,15,1,9,4,1,1,76,1,6,36,8,4,4,1,25,1,0
71,35,1,1,3,3,3,14955,72,24,8,9,4,3,4,59,0,3,50,1,2,4,1,13,3,1
72,37,0,1,1,0,5,11970,61,24,9,8,1,2,1,60,0,1,58,4,3,1,4,11,2,0
73,43,1,1,1,3,5,17226,37,5,3,0,3,3,2,43,0,4,30,2,4,4,4,46,2,0
74,45,0,2,0,0,4,16119,89,26,3,7,2,5,4,23,0,4,49,14,4,3,3,6,2,0
75,44,0,1,0,3,3,16384,94,18,9,5,1,2,4,50,0,2,50,5,4,2,3,46,1,0
76,48,1,2,0,3,2,4601,21,4,7,8,2,4,1,32,1,6,44,15,4,1,1,19,4,0
77,34,0,0,4,3,3,6843,63,1,12,9,2,1,2,11,0,5,41,2,2,3,3,23,3,0
78,20,0,0,3,1,1,18744,45,10,12,6,1,2,4,9,1,1,31,8,2,1,2,32,1,1
79,44,1,0,3,2,2,6675,61,17,9,2,4,5,2,30,0,2,46,6,1,2,2,43,2,0
80,26,0,1,2,0,4,15049,82,28,2,7,2,5,2,55,1,6,43,10,4,1,2,49,1,0
81,28,1,1,2,2,4,4005,49,26,7,9,2,3,2,3,0,3,59,12,3,3,3,21,4,0
82,43,1,1,3,2,2,3231,89,3,14,2,2,3,1,35,0,7,47,6,4,4,4,36,3,0
83,20,1,0,1,2,5,14845,48,4,13,2,1,4,3,9,0,1,45,16,1,3,4,26,3,1
84,27,0,0,3,2,2,19374,72,12,8,3,1,5,4,66,0,7,49,3,4,2,4,23,4,0
85,43,0,0,4,0,2,19230,29,27,11,2,4,5,4,21,0,3,45,10,2,3,3,24,3,0
86,30,0,0,2,0,1,18389,92,28,4,5,2,5,4,84,1,6,55,17,1,4,3,8,1,0
87,36,0,2,2,2,2,7970,99,11,13,6,1,1,3,37,0,1,32,19,3,2,1,4,4,0
88,27,1,2,2,0,3,18092,85,3,10,2,2,1,4,45,0,1,43,16,4,2,2,16,2,0
89,54,1,1,3,0,3,12089,95,28,11,2,4,5,3,66,1,1,57,8,2,3,4,20,4,0
90,54,0,1,2,3,4,17867,56,11,4,6,3,1,1,28,0,6,37,19,1,2,2,21,1,1
91,52,1,0,2,0,5,10882,32,3,12,9,3,5,1,50,0,2,33,8,3,3,1,49,3,0
92,24,0,2,3,1,4,11343,92,24,2,8,3,3,2,59,1,8,33,18,2,1,4,40,1,1
93,58,1,2,1,2,1,19555,52,4,2,2,4,3,4,58,0,9,50,5,2,2,4,48,3,0
94,47,1,1,2,0,2,8524,78,3,4,5,1,1,4,4,1,6,30,1,2,3,2,47,2,0
95,26,1,2,2,2,4,4429,43,25,4,4,2,3,4,2,1,9,59,0,3,1,3,31,1,0
96,28,1,1,2,0,2,6199,24,12,5,7,1,3,3,63,1,7,30,0,2,4,1,8,4,0
97,27,1,0,4,2,4,13090,31,12,10,8,3,4,1,93,0,3,45,19,4,2,3,35,4,0
98,31,0,0,3,1,2,10432,46,17,14,7,3,4,2,46,1,9,42,7,3,4,3,29,3,0
99,53,0,1,2,0,4,17069,75,24,10,0,2,5,2,39,1,7,55,13,3,3,3,6,2,0
100,52,1,0,4,0,3,19483,98,21,13,6,2,2,2,7,0,5,43,5,3,2,2,11,2,0
101,42,0,0,1,1,1,16875,95,8,10,7,4,2,4,55,0,7,50,13,4,2,2,25,2,1
102,43,1,2,1,0,4,16196,60,10,9,4,2,4,4,76,1,3,51,9,4,2,1,4,2,0
103,56,1,2,4,2,3,19970,85,16,11,3,1,5,2,53,0,1,44,5,3,1,1,41,4,0
104,54,1,2,1,1,5,14159,70,19,9,6,1,4,2,83,0,3,32,10,1,4,4,31,1,0
105,59,1,2,0,3,4,19639,75,15,7,5,2,3,2,76,0,8,33,13,1,1,1,30,3,0
106,41,0,2,1,2,2,6007,58,22,6,1,1,5,1,5,1,4,44,1,3,1,1,18,3,0
107,46,1,1,0,0,1,16966,52,11,10,8,1,5,4,73,0,6,37,17,4,4,4,34,2,0
108,54,0,1,4,2,3,16696,64,7,5,2,3,2,2,52,0,5,34,18,2,4,4,39,3,0
109,20,1,2,0,1,3,15402,88,24,4,0,3,2,4,25,0,6,54,9,1,3,3,21,1,1
110,54,1,0,1,0,1,8112,46,7,2,2,2,2,1,69,1,1,47,15,1,3,3,32,2,0
111,56,0,0,2,0,4,4580,67,23,4,0,2,1,1,25,0,2,51,0,4,1,2,46,2,0
112,33,1,1,0,1,2,6226,62,18,11,9,2,3,3,27,1,9,59,18,4,1,1,41,3,0
113,22,1,1,1,3,5,7590,95,19,7,6,3,3,3,75,0,3,54,6,3,3,3,7,4,0
114,20,0,1,2,0,4,19465,15,16,1,5,1,3,4,52,0,2,43,14,1,4,1,22,3,0
115,24,0,0,4,0,1,6012,44,22,3,7,4,3,4,60,0,5,50,12,2,2,1,34,1,0
116,45,0,1,4,0,4,8301,23,3,4,3,1,3,4,39,1,5,42,5,4,4,2,49,3,0
117,33,1,0,3,3,4,6112,47,25,7,5,4,3,2,67,0,6,50,8,3,1,2,32,3,0
118,58,1,1,4,2,1,9588,40,25,3,2,3,1,4,87,1,3,42,12,3,3,2,9,4,0
119,46,0,0,3,3,1,8381,56,6,4,3,4,5,4,14,0,5,40,15,3,3,1,43,3,1
120,28,0,1,4,2,5,17067,88,1,1,5,2,2,2,87,0,5,50,5,2,2,1,33,3,0
121,34,1,1,4,0,1,5104,56,1,12,4,2,2,3,12,1,8,59,18,4,1,1,6,1,0
122,34,1,0,4,2,1,10726,53,15,1,1,2,2,2,66,0,5,56,14,2,2,2,24,4,0
123,45,0,1,3,2,1,12790,75,20,10,8,2,3,1,90,1,1,35,7,4,1,4,15,1,0
124,32,0,2,3,2,3,11770,61,11,12,1,1,2,1,44,0,1,59,10,1,3,1,13,4,0
125,51,0,0,0,2,1,12106,56,10,3,7,2,1,4,78,0,1,37,8,1,3,1,14,2,0
126,58,0,1,1,0,1,17006,62,24,7,4,4,3,4,25,1,9,45,1,4,2,4,14,4,1
127,51,1,0,1,1,1,3774,66,3,13,6,3,3,4,55,1,7,37,1,4,3,2,10,3,0
128,23,1,1,1,3,5,3056,47,4,11,5,2,1,2,22,0,3,30,4,2,3,2,27,1,0
129,49,1,2,4,2,4,10226,41,12,6,1,1,5,3,38,0,2,49,5,4,4,4,45,2,0
130,56,1,1,1,0,1,3545,57,27,5,3,2,1,2,96,0,2,38,6,2,2,1,39,4,0
131,42,0,1,3,0,1,7906,43,6,8,8,2,1,4,20,1,6,43,4,1,3,2,13,3,0
132,58,1,2,0,0,5,12605,33,27,11,6,1,1,3,13,0,6,41,10,4,1,4,39,2,0
133,34,0,0,2,0,4,9395,96,25,8,0,3,5,1,12,1,6,51,2,2,1,1,12,1,0
134,48,1,1,0,2,5,17501,42,20,4,3,1,2,3,31,0,2,34,1,2,1,2,45,4,0
135,55,1,1,1,3,2,15275,24,19,10,9,4,1,3,11,0,7,50,0,2,3,2,29,1,0
136,32,1,2,1,0,2,6388,81,26,6,2,1,3,2,62,1,3,43,18,4,1,3,12,2,0
137,51,0,0,3,3,2,13821,30,26,12,0,4,2,3,51,0,1,43,1,2,1,4,40,3,0
138,26,1,0,0,3,1,3571,15,16,1,4,2,2,3,73,1,3,49,1,3,1,1,31,2,0
139,41,0,2,3,3,5,19109,96,25,10,8,1,4,1,21,0,6,34,18,2,3,1,23,3,0
140,47,0,2,3,1,1,6927,18,23,14,3,2,1,3,46,1,7,59,19,4,4,2,45,3,0
141,21,1,1,2,0,2,19731,83,25,12,1,1,2,2,24,1,3,47,9,4,4,3,31,4,0
142,25,0,2,3,0,4,7592,99,27,10,6,4,3,1,92,1,8,38,2,4,4,1,19,2,0
143,47,1,2,3,0,4,13691,18,10,9,7,1,5,3,70,1,3,48,9,4,3,4,49,2,1
144,47,0,2,2,3,5,19599,34,6,14,1,4,5,4,34,1,6,59,11,1,3,1,32,2,0
145,39,1,0,4,0,4,9613,77,20,5,9,2,2,3,92,0,2,30,3,2,1,1,1,1,0
146,49,0,2,4,0,2,14092,97,5,14,8,1,5,1,79,0,9,58,10,1,1,4,13,4,0
147,30,0,1,2,3,5,11477,49,10,8,9,1,4,3,71,1,7,58,11,2,3,1,35,4,1
148,47,1,1,3,0,5,11052,59,12,10,7,2,5,1,50,0,8,31,17,4,4,4,46,3,0
149,44,1,1,1,2,2,6059,71,18,10,3,1,5,1,58,1,2,50,12,3,2,1,9,1,0
150,58,1,2,0,1,2,3050,38,3,1,3,4,5,2,72,0,4,41,8,1,3,2,13,1,0
151,52,1,0,1,2,2,8538,34,5,14,4,1,3,3,19,1,8,39,0,4,2,2,35,3,0
152,20,0,2,1,2,2,4725,42,29,4,0,2,4,4,18,1,9,50,13,1,3,3,8,3,0
153,46,0,2,3,2,5,18410,52,3,13,6,1,4,1,15,0,4,56,16,4,1,1,44,4,0
154,32,0,1,0,3,4,7566,38,3,2,3,3,5,1,61,0,6,48,7,1,4,3,41,1,0
155,22,0,2,0,0,2,14495,98,9,2,0,1,2,2,28,0,5,51,15,3,4,4,11,4,0
156,58,1,0,4,2,3,10857,38,4,2,3,1,3,2,97,0,6,49,10,1,4,1,35,3,0
157,25,0,1,2,2,5,13909,84,20,2,3,1,2,2,91,1,3,31,4,2,1,4,18,1,0
158,27,1,0,3,0,1,10826,39,17,8,0,2,1,1,33,0,5,33,11,4,4,3,14,2,1
159,46,0,0,0,3,4,16791,95,28,6,8,2,3,4,80,1,7,50,14,4,1,3,43,4,0
160,28,1,0,3,2,5,7533,95,7,9,7,4,5,1,3,0,4,35,11,1,3,1,2,3,0
161,56,1,2,4,0,2,18491,83,29,2,8,3,3,2,54,0,5,46,10,4,3,1,48,2,0
162,52,1,2,1,0,3,19907,31,26,13,6,2,3,2,51,1,6,58,3,3,3,4,49,4,0
163,43,1,2,0,1,1,7601,72,13,1,4,3,2,2,97,0,9,52,12,3,4,2,15,1,0
164,34,1,2,4,2,4,13130,87,25,14,6,1,1,2,29,1,9,30,19,2,3,2,40,2,1
165,51,0,1,3,2,2,4204,34,28,8,1,1,3,1,58,1,9,59,15,3,4,1,48,4,0
166,51,1,2,4,1,5,7082,16,24,10,9,1,1,2,63,0,1,49,7,2,3,1,23,4,1
167,43,0,1,4,0,5,6334,97,12,14,6,1,1,4,37,1,3,58,19,4,1,1,15,2,0
168,31,0,0,4,0,4,3711,23,18,13,3,3,2,4,29,0,2,39,11,1,4,2,45,1,0
169,58,1,1,4,2,3,12104,77,22,3,4,4,2,1,94,0,6,33,4,2,4,4,2,1,0
170,21,0,2,4,2,2,8710,97,26,3,6,3,5,2,42,1,9,30,16,4,3,4,21,4,0
171,22,0,1,4,1,4,12926,82,26,8,1,1,5,3,95,1,2,45,2,3,2,4,23,3,0
172,56,0,2,2,2,4,18977,20,15,5,4,4,3,3,55,1,7,54,0,3,1,2,29,2,0
173,36,1,2,3,2,5,13328,25,5,8,1,4,5,1,97,1,1,54,15,1,1,2,31,1,0
174,21,1,1,1,3,4,3331,35,24,2,9,1,2,2,81,0,4,48,2,1,1,2,22,1,0
175,21,1,1,3,1,1,18790,77,1,10,5,4,5,4,5,0,1,56,16,3,1,3,6,1,1
176,47,1,0,0,0,1,6834,44,9,9,9,2,5,2,2,0,1,44,3,1,2,1,47,3,1
177,42,0,0,0,2,2,19177,96,9,2,7,1,5,4,39,0,7,33,2,4,4,4,12,3,1
178,56,0,0,3,0,4,11899,35,13,9,6,4,1,4,77,1,5,30,0,4,2,4,26,1,0
179,51,0,0,4,2,5,10210,37,11,10,4,3,5,4,37,1,8,46,5,1,1,1,10,2,1
180,52,0,0,2,3,2,8804,75,28,6,2,4,2,4,16,0,2,48,10,3,4,2,12,3,0
181,20,0,1,1,1,3,10733,44,23,12,3,3,1,4,50,0,6,50,7,1,1,3,15,4,0
182,38,0,0,4,1,5,3252,60,24,12,1,2,5,4,26,0,9,43,5,1,3,1,18,1,0
183,21,1,1,3,0,3,12190,74,29,5,5,1,5,4,36,1,3,38,4,3,2,1,5,3,0
184,45,0,0,3,3,2,17122,32,9,7,7,4,2,2,25,0,6,44,4,2,4,3,15,1,0
185,51,0,2,2,0,1,8827,76,29,14,7,2,3,4,77,1,9,42,17,3,3,3,28,2,0
186,25,0,0,2,3,5,11484,59,5,7,8,3,2,2,59,0,3,38,9,4,4,4,9,4,0
187,51,1,2,3,2,5,10552,75,14,4,4,2,4,3,99,1,5,47,13,2,3,1,36,2,1
188,23,0,1,4,2,2,17351,73,27,7,9,2,2,1,87,0,6,42,14,2,3,4,17,3,0
189,30,0,0,4,3,5,19420,49,16,3,5,3,3,3,20,1,1,59,14,3,4,3,21,4,0
190,36,1,1,4,2,5,4444,36,2,3,1,1,2,3,64,1,8,40,4,1,1,3,27,2,0
191,57,0,0,1,1,2,10793,38,15,7,9,2,1,2,61,0,3,55,1,3,4,1,29,2,0
192,43,1,1,1,3,4,9677,65,17,1,3,2,1,1,41,1,8,34,5,4,4,3,43,2,1
193,24,1,0,4,3,2,10861,79,5,8,2,3,2,1,95,0,1,55,9,4,2,1,42,1,1
194,53,0,0,3,0,5,16268,29,24,11,8,3,1,4,62,1,4,48,7,2,4,4,39,1,1
195,25,0,2,2,3,2,13634,42,10,2,5,2,3,3,74,1,4,35,17,3,2,3,10,4,0
196,41,1,1,0,0,5,9420,56,15,1,5,4,4,3,57,0,8,32,12,4,1,2,40,2,0
197,30,0,1,2,3,3,7378,34,20,6,3,3,4,2,80,1,4,45,6,2,2,2,3,3,0
198,35,0,1,2,1,3,3998,57,4,4,5,1,3,4,61,0,4,47,18,2,4,1,4,2,0
199,52,1,1,0,1,1,7302,94,4,7,0,4,5,1,66,1,7,39,3,4,2,2,49,2,0
200,28,1,1,4,1,2,10830,83,24,12,8,4,5,3,28,0,8,32,8,3,3,3,34,4,0
201,25,0,2,2,0,2,17898,77,29,3,2,2,4,3,18,1,6,31,6,3,3,2,42,2,1
202,35,1,0,0,0,3,17054,57,7,11,4,1,1,3,96,1,4,30,9,2,3,3,14,4,0
203,48,0,2,3,2,3,9735,93,29,2,6,4,1,2,4,1,7,45,19,1,3,1,23,1,0
204,22,0,1,3,0,3,3130,16,27,12,1,3,5,2,65,1,9,45,4,4,1,1,31,4,0
205,39,0,1,3,0,1,15423,91,1,11,3,1,4,1,8,0,2,59,6,2,1,4,38,1,0
206,55,0,0,4,1,1,14609,37,26,4,5,1,2,4,40,0,3,52,1,3,2,4,40,4,0
207,38,1,2,2,3,4,13409,26,22,4,0,2,2,2,24,0,1,51,8,1,2,1,49,1,0
208,45,0,0,2,0,2,4186,60,20,11,5,4,1,1,83,1,7,33,19,2,2,3,3,4,1
209,22,1,0,1,2,1,7294,47,2,4,4,3,3,3,74,0,6,42,11,4,1,4,13,2,0
210,38,0,2,3,3,5,11135,58,19,3,1,4,5,1,11,0,8,48,7,3,1,1,19,4,0
211,39,0,0,4,0,2,14004,39,4,7,5,4,1,1,64,0,2,35,5,1,2,4,34,2,0
212,51,1,2,0,3,4,12709,49,26,5,4,3,3,3,87,0,5,45,10,1,2,3,31,1,0
213,26,0,2,4,3,3,19389,49,23,11,0,4,3,3,80,0,1,33,8,2,2,3,3,3,0
214,52,1,1,2,3,4,5150,79,1,4,5,1,5,2,15,1,9,35,5,4,3,3,6,4,0
215,59,1,0,3,3,2,17144,57,1,5,6,2,3,3,54,1,2,54,12,4,2,4,49,4,0
216,58,0,1,1,3,3,15458,82,3,7,8,2,3,3,37,1,7,36,19,3,1,3,47,2,0
217,37,0,0,4,0,4,8808,76,18,4,1,1,5,4,42,0,7,48,9,2,2,1,47,3,0
218,59,0,0,1,3,4,10892,45,3,12,5,4,4,3,7,0,4,57,11,2,1,2,27,2,0
219,20,0,1,2,3,2,8553,42,3,13,5,4,2,4,52,0,6,49,4,3,4,2,6,3,0
220,30,1,1,0,2,1,10154,25,27,14,0,2,4,3,60,0,2,54,4,2,3,1,8,4,0
221,47,0,1,4,2,5,10139,46,13,10,7,2,2,2,87,0,2,59,3,2,2,1,32,3,1
222,44,0,2,2,3,4,18479,80,1,5,4,3,2,3,69,0,9,43,19,1,2,3,13,2,0
223,42,0,0,3,0,5,3177,74,13,6,1,3,5,1,45,0,1,42,7,2,1,3,35,2,1
224,50,0,2,4,2,2,18488,65,22,6,4,3,4,1,8,0,6,51,10,4,2,4,2,2,1
225,49,0,0,1,2,2,13802,73,24,12,3,3,5,3,66,0,1,47,13,3,4,4,33,1,0
226,54,1,0,4,3,1,7513,91,5,12,6,2,4,1,99,1,6,55,15,4,1,3,16,3,0
227,26,0,2,2,0,3,11745,31,17,7,9,4,3,2,22,0,4,53,6,1,2,4,29,4,1
228,35,1,2,2,1,5,14581,82,11,10,7,1,1,3,30,1,5,59,16,3,2,2,37,2,0
229,45,0,0,1,0,4,10774,52,10,13,0,2,4,3,33,0,4,48,16,2,3,3,44,3,0
230,21,0,1,2,2,3,19625,78,27,3,0,1,4,2,34,1,5,32,17,1,2,2,10,3,0
231,20,0,1,4,2,5,12571,17,23,12,7,1,3,3,47,1,3,34,5,1,4,4,32,4,0
232,31,1,1,1,2,5,12788,68,27,8,3,4,3,3,80,0,6,54,8,3,2,4,31,3,0
233,24,0,1,2,2,3,11028,90,15,5,7,4,2,4,20,0,1,39,15,3,3,1,13,3,0
234,56,1,0,2,2,3,16749,58,13,1,6,1,1,2,66,0,2,36,7,2,4,4,38,2,1
235,51,1,1,4,3,1,16753,96,10,4,8,2,1,1,37,1,6,44,18,2,3,1,16,4,0
236,28,0,1,2,3,4,13196,44,9,11,6,1,1,3,52,0,9,53,5,4,4,1,26,3,0
237,54,1,1,4,3,4,4300,89,28,4,3,4,4,3,34,0,5,52,15,1,1,1,4,2,0
238,38,0,0,3,2,4,10923,99,7,14,4,3,4,4,97,1,2,53,17,1,4,1,28,2,0
239,35,0,2,4,3,3,9673,68,25,8,6,4,5,3,13,1,5,53,12,4,1,2,15,4,0
240,22,1,1,0,2,1,14976,62,10,13,1,4,2,4,79,1,6,47,4,2,1,3,44,3,0
241,39,0,0,2,0,2,7287,49,9,10,2,2,3,4,57,1,2,43,9,4,3,1,38,3,0
242,43,0,0,3,1,1,17384,82,13,9,2,1,3,4,67,1,7,47,1,4,4,1,27,3,0
243,52,1,1,1,0,3,9237,40,16,3,8,1,3,4,72,1,8,38,7,2,1,4,28,2,0
244,43,1,2,0,1,1,6805,86,2,12,1,1,5,1,37,0,8,33,17,3,2,1,24,4,0
245,30,1,2,1,3,3,5214,70,8,11,3,3,5,2,14,0,6,51,13,3,1,2,27,4,0
246,27,1,2,0,1,5,19621,90,28,10,7,3,4,2,53,1,4,44,5,3,4,2,23,1,0
247,55,1,0,3,0,5,3732,83,23,1,0,3,5,3,64,0,2,52,3,1,4,1,13,1,0
248,57,1,1,3,0,2,17925,94,28,11,8,3,5,2,9,1,1,30,7,1,4,1,4,2,1
249,59,0,1,3,1,5,5824,78,7,13,5,3,3,4,10,0,8,44,0,4,4,1,45,2,0
250,39,1,0,0,0,2,5454,43,2,13,3,4,5,4,94,0,5,53,15,4,4,3,33,2,0
251,54,1,1,4,3,4,15497,92,1,11,4,2,2,1,35,0,9,40,3,1,3,2,31,1,0
252,44,0,1,1,0,3,14575,73,4,8,6,2,5,1,97,1,8,30,10,2,3,3,2,2,0
253,54,0,2,4,1,4,11168,39,23,9,7,4,1,3,56,0,2,55,16,2,1,3,27,1,0
254,44,1,1,4,3,4,5424,86,6,4,4,3,5,2,37,0,9,53,3,4,2,4,22,1,0
255,48,1,1,2,1,2,9183,41,26,5,6,4,4,1,80,1,4,43,15,2,4,3,11,1,0
256,37,0,0,1,2,3,19469,36,2,4,2,4,2,4,67,0,3,44,19,3,1,3,48,3,0
257,37,1,0,0,2,2,5016,85,7,4,1,4,5,4,36,0,9,46,12,4,1,3,28,2,1
