employee_id,age,gender,marital_status,department,job_role,job_level,monthly_income,hourly_rate,years_at_company,years_in_current_role,years_since_last_promotion,work_life_balance,job_satisfaction,performance_rating,training_hours_last_year,overtime,project_count,average_hours_worked_per_week,absenteeism,work_environment_satisfaction,relationship_with_manager,job_involvement,distance_from_home,number_of_companies_worked,attrition,sentiment_score,sentiment_label,feedback_text
15,22,1,0,4,3,4,17859,18,16,1,8,3,5,3,60,0,4,49,17,3,3,1,17,2,0,3.5,Positive,I am happy with my job and work-life balance.
16,41,1,2,1,0,1,5172,56,11,9,2,3,5,1,74,1,8,43,18,3,3,3,2,1,0,3.5,Positive,I am happy with my job and work-life balance.
17,21,1,1,1,3,4,16158,27,14,11,7,3,4,1,83,1,1,45,4,2,4,2,6,3,0,3.25,Positive,I am happy with my job and work-life balance.
18,43,1,1,0,0,1,19663,99,3,14,7,1,4,1,9,1,5,52,10,3,4,1,44,4,0,3.0,Positive,I am happy with my job and work-life balance.
19,49,0,0,1,3,1,14085,18,19,6,2,1,1,2,28,0,2,38,9,2,4,4,11,3,0,2.0,Neutral,"My job is okay, not too good or bad."
20,57,1,1,0,0,5,6981,96,18,4,2,1,4,3,47,0,9,44,16,4,3,1,43,3,0,3.0,Positive,I am happy with my job and work-life balance.
21,21,1,1,0,0,1,8247,83,10,7,5,2,2,2,97,0,7,34,3,1,1,1,18,2,0,1.5,Negative,I am dissatisfied with my job and work-life balance.
22,40,0,0,0,0,1,13553,33,6,5,0,3,3,3,80,0,8,47,17,4,2,4,40,3,0,3.0,Positive,I am happy with my job and work-life balance.
23,52,1,2,1,0,3,9135,16,13,10,3,4,2,2,61,0,6,50,17,3,4,2,25,4,0,3.25,Positive,I am happy with my job and work-life balance.
24,31,1,2,0,0,4,8573,26,10,14,0,2,4,1,12,0,9,49,0,1,1,4,39,3,1,2.0,Neutral,"My job is okay, not too good or bad."
25,41,1,2,1,0,3,16731,95,18,7,2,2,5,2,43,1,6,37,13,1,2,3,28,4,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
26,44,1,0,0,0,1,10189,88,26,8,8,2,2,2,46,0,7,44,7,4,3,2,46,1,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
27,46,1,1,3,0,5,17541,20,20,8,4,4,5,3,63,0,7,50,1,2,1,1,16,3,1,3.0,Positive,I am happy with my job and work-life balance.
28,47,1,0,0,0,3,13878,22,26,1,4,3,2,3,90,0,9,54,18,1,3,4,12,2,1,2.25,Negative,I am dissatisfied with my job and work-life balance.
29,35,0,0,2,3,3,14087,65,16,8,3,1,5,2,52,0,8,38,14,2,2,3,41,3,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
30,34,0,1,0,2,2,16667,25,25,6,2,3,2,3,89,1,1,48,1,4,4,4,29,4,0,3.25,Positive,I am happy with my job and work-life balance.
31,22,1,2,4,0,1,5776,77,25,4,4,3,5,3,91,1,4,58,3,4,3,2,23,4,0,3.75,Positive,I am happy with my job and work-life balance.
32,56,1,2,0,2,5,12311,71,6,13,3,2,3,3,76,1,7,55,0,2,1,3,21,2,1,2.0,Neutral,"My job is okay, not too good or bad."
33,26,0,0,2,0,3,10697,26,13,14,7,2,1,4,75,1,8,51,18,4,4,1,16,4,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
34,40,1,2,2,0,3,17629,87,4,12,3,2,2,3,43,1,7,35,9,1,1,2,48,3,0,1.5,Negative,I am dissatisfied with my job and work-life balance.
35,28,1,0,1,3,5,11386,16,23,8,7,1,3,4,27,0,3,33,0,4,2,3,41,4,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
36,58,1,0,3,1,1,11044,22,14,3,5,1,1,4,1,1,4,40,19,4,2,2,45,3,0,2.0,Neutral,"My job is okay, not too good or bad."
37,37,0,1,0,1,2,12615,25,1,13,4,1,2,3,56,1,7,58,14,1,4,1,26,3,1,2.0,Neutral,"My job is okay, not too good or bad."
38,23,1,1,1,3,3,18034,67,28,4,3,3,3,2,56,0,8,39,3,2,1,3,37,4,0,2.25,Negative,I am dissatisfied with my job and work-life balance.
39,44,0,1,3,2,2,8060,24,20,6,3,2,3,3,33,0,7,32,6,4,1,4,22,2,1,2.5,Negative,I am dissatisfied with my job and work-life balance.
40,33,1,0,0,1,4,13900,99,5,11,3,4,3,1,86,1,6,30,6,2,1,4,10,1,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
41,28,0,1,4,3,1,8581,98,8,7,8,3,4,2,57,0,9,41,17,1,1,1,7,2,0,2.25,Negative,I am dissatisfied with my job and work-life balance.
42,45,0,2,0,3,4,5014,22,12,4,3,1,5,4,51,0,9,52,12,2,2,3,9,1,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
43,21,1,2,2,1,4,15997,50,2,4,8,4,1,4,28,1,7,44,9,2,1,1,25,2,0,2.0,Neutral,"My job is okay, not too good or bad."
44,39,0,0,2,2,4,13635,90,12,7,9,4,5,2,34,0,8,44,7,3,2,1,46,3,0,3.5,Positive,I am happy with my job and work-life balance.
45,47,1,0,4,3,1,16648,28,5,6,5,2,5,2,74,1,6,50,9,3,1,2,15,3,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
46,26,0,1,1,0,1,10148,68,22,13,9,4,5,3,47,1,1,43,13,4,1,4,13,4,0,3.5,Positive,I am happy with my job and work-life balance.
47,27,1,0,3,2,5,17022,99,5,11,6,1,3,4,32,0,1,55,13,3,3,1,42,1,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
48,54,1,0,0,2,2,8919,35,13,8,9,2,5,1,74,1,6,36,19,3,3,2,46,1,0,3.25,Positive,I am happy with my job and work-life balance.
49,33,0,2,2,1,2,18886,64,9,1,2,4,4,3,72,1,2,46,10,3,1,1,26,4,1,3.0,Positive,I am happy with my job and work-life balance.
50,36,1,2,1,1,5,9638,53,10,10,7,2,2,2,77,0,8,53,5,2,2,1,21,2,1,2.0,Neutral,"My job is okay, not too good or bad."
51,55,1,1,4,0,5,7651,34,1,13,2,4,3,4,8,0,1,48,0,2,1,1,23,4,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
52,59,0,0,2,3,4,3609,21,3,11,0,3,1,2,47,0,2,36,18,3,3,4,44,2,1,2.5,Negative,I am dissatisfied with my job and work-life balance.
53,23,1,0,4,1,5,10940,23,18,7,9,3,2,2,66,0,8,57,6,1,1,3,28,4,0,1.75,Negative,I am dissatisfied with my job and work-life balance.
54,21,1,2,0,1,3,13348,15,12,12,4,1,2,2,92,1,6,32,17,3,3,4,38,1,1,2.25,Negative,I am dissatisfied with my job and work-life balance.
55,25,0,0,3,2,2,6866,40,29,7,1,3,2,3,82,0,2,59,2,1,1,2,12,1,0,1.75,Negative,I am dissatisfied with my job and work-life balance.
56,23,0,2,2,1,5,19755,52,3,11,9,3,5,1,35,0,2,32,19,2,4,3,24,2,0,3.5,Positive,I am happy with my job and work-life balance.
57,48,1,1,2,1,3,19999,52,26,7,5,3,5,1,95,1,7,55,10,1,1,2,13,1,1,2.5,Negative,I am dissatisfied with my job and work-life balance.
58,37,1,2,0,1,3,5253,75,25,7,9,4,3,4,70,1,5,54,4,2,2,1,40,1,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
59,45,0,0,1,1,3,7942,58,29,10,8,4,5,2,91,1,5,58,18,1,3,3,48,1,0,3.25,Positive,I am happy with my job and work-life balance.
60,53,0,1,3,2,3,15330,58,9,14,0,2,5,1,43,1,8,47,1,2,4,2,2,1,0,3.25,Positive,I am happy with my job and work-life balance.
61,29,1,2,2,0,4,3864,88,26,10,3,4,5,2,81,0,7,59,3,2,3,1,39,3,0,3.5,Positive,I am happy with my job and work-life balance.
62,55,0,2,3,0,3,4268,76,2,8,0,3,3,4,59,0,9,49,9,3,3,2,12,4,0,3.0,Positive,I am happy with my job and work-life balance.
63,33,1,1,2,3,4,10454,20,3,9,0,4,3,2,62,1,4,51,1,4,2,2,39,4,1,3.25,Positive,I am happy with my job and work-life balance.
64,50,1,1,3,1,4,16666,31,14,9,7,1,4,1,4,1,4,43,7,4,1,4,14,3,1,2.5,Negative,I am dissatisfied with my job and work-life balance.
65,34,1,2,4,2,3,15370,65,4,2,1,2,4,2,86,1,2,32,0,2,2,1,30,1,1,2.5,Negative,I am dissatisfied with my job and work-life balance.
66,27,1,0,2,3,2,8229,52,25,13,0,2,4,1,85,1,3,57,5,3,1,4,41,4,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
67,33,1,2,3,3,3,19309,38,19,13,7,4,4,4,89,0,1,55,10,4,4,3,43,4,0,4.0,Positive,I am happy with my job and work-life balance.
68,42,0,1,1,0,3,7054,65,13,7,3,3,2,2,75,1,1,59,9,4,2,1,48,4,1,2.75,Negative,I am dissatisfied with my job and work-life balance.
69,59,0,2,4,2,3,3935,24,7,7,2,2,2,1,39,0,7,55,12,3,2,4,19,2,0,2.25,Negative,I am dissatisfied with my job and work-life balance.
70,40,0,1,4,2,2,15172,86,12,4,3,1,4,4,18,1,5,36,0,3,3,4,31,3,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
71,35,0,1,1,2,1,13530,35,3,9,4,1,4,2,46,0,3,36,1,4,2,3,43,2,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
72,37,1,0,3,0,1,18560,84,23,8,0,2,1,4,64,0,7,34,2,4,1,2,43,2,0,2.0,Neutral,"My job is okay, not too good or bad."
73,43,1,1,0,0,4,19156,99,23,12,0,3,2,1,66,0,2,32,8,1,2,2,25,3,0,2.0,Neutral,"My job is okay, not too good or bad."
74,45,1,1,1,0,4,19709,71,9,1,2,3,1,2,90,0,3,47,4,1,2,2,4,4,0,1.75,Negative,I am dissatisfied with my job and work-life balance.
75,44,1,0,3,0,2,12726,53,2,2,5,4,1,2,17,1,1,44,9,2,4,3,13,2,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
76,48,0,1,1,0,5,10774,47,29,13,0,4,5,2,49,0,8,49,9,4,1,4,36,4,0,3.5,Positive,I am happy with my job and work-life balance.
77,34,1,0,1,1,1,4985,73,22,13,1,2,3,4,29,1,2,43,11,3,3,1,42,2,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
78,20,1,0,2,1,4,17252,32,9,2,6,4,2,4,65,0,7,58,17,3,1,3,37,4,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
79,44,0,1,3,2,1,7603,70,12,12,0,4,4,1,4,0,9,33,0,4,4,2,3,1,0,4.0,Positive,I am happy with my job and work-life balance.
80,26,0,1,0,3,2,18960,71,12,12,6,4,4,3,92,1,6,56,2,2,1,2,16,1,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
81,28,0,2,2,2,2,12462,90,15,11,3,1,3,2,96,1,2,53,4,3,1,1,26,1,0,2.0,Neutral,"My job is okay, not too good or bad."
82,43,0,0,1,3,5,17166,62,2,8,9,4,2,2,41,0,2,37,16,4,2,3,40,3,0,3.0,Positive,I am happy with my job and work-life balance.
83,20,1,2,1,0,5,10754,56,18,1,5,2,4,1,83,0,9,58,7,4,2,2,39,1,0,3.0,Positive,I am happy with my job and work-life balance.
84,27,1,1,1,3,2,17246,41,13,4,7,3,4,2,93,1,8,50,16,2,1,3,19,2,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
85,43,0,2,3,2,4,7078,88,14,10,8,4,5,4,4,0,9,42,8,4,1,4,46,4,0,3.5,Positive,I am happy with my job and work-life balance.
86,30,1,0,3,2,1,15853,66,5,12,5,3,1,4,49,1,4,51,5,3,3,3,15,4,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
87,36,1,2,2,3,3,7042,56,26,5,8,4,4,2,84,1,4,37,16,1,4,4,32,4,0,3.25,Positive,I am happy with my job and work-life balance.
88,27,1,0,0,1,5,19284,46,10,9,3,2,2,2,57,1,2,44,7,2,2,1,49,4,0,2.0,Neutral,"My job is okay, not too good or bad."
89,54,0,1,2,0,3,17389,40,12,7,5,1,3,4,78,0,1,46,6,4,2,4,21,2,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
90,54,1,1,4,0,4,5575,39,10,8,7,2,5,2,83,0,4,34,6,2,2,4,1,4,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
91,52,0,0,1,2,5,9754,89,24,14,8,1,2,4,7,1,8,49,14,4,2,1,6,2,0,2.25,Negative,I am dissatisfied with my job and work-life balance.
92,24,1,1,1,1,3,4986,37,11,11,2,4,5,3,30,1,2,33,6,1,1,2,27,2,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
93,58,1,1,1,3,4,18470,71,25,9,1,4,1,3,11,1,8,40,7,2,1,1,23,4,1,2.0,Neutral,"My job is okay, not too good or bad."
94,47,1,1,2,0,1,8968,66,2,13,5,1,4,2,20,1,1,47,8,4,3,3,47,4,0,3.0,Positive,I am happy with my job and work-life balance.
95,26,0,1,2,1,4,10493,45,5,7,3,2,2,2,93,0,1,39,14,1,2,1,31,4,1,1.75,Negative,I am dissatisfied with my job and work-life balance.
96,28,1,0,1,0,5,7103,78,7,5,0,2,3,2,61,1,4,46,1,3,2,3,12,2,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
97,27,0,2,2,1,2,5076,85,6,13,7,1,1,4,90,0,7,59,6,4,1,2,21,3,0,1.75,Negative,I am dissatisfied with my job and work-life balance.
98,31,0,2,3,1,1,5994,47,22,5,8,4,1,3,89,1,9,44,14,1,3,3,2,2,0,2.25,Negative,I am dissatisfied with my job and work-life balance.
99,53,0,1,3,2,3,6744,99,23,10,8,1,5,3,32,0,5,35,17,1,1,1,5,3,1,2.0,Neutral,"My job is okay, not too good or bad."
100,52,1,2,2,0,5,17466,16,3,11,1,4,1,1,25,0,2,52,17,2,2,1,9,4,0,2.25,Negative,I am dissatisfied with my job and work-life balance.
101,42,1,2,1,3,2,17523,32,13,6,8,1,2,1,89,0,7,50,9,4,2,2,20,2,0,2.25,Negative,I am dissatisfied with my job and work-life balance.
102,43,1,1,2,2,4,8594,61,3,5,6,4,5,2,99,0,2,45,17,3,4,1,46,4,1,4.0,Positive,I am happy with my job and work-life balance.
103,56,1,1,2,2,2,10531,47,26,13,4,1,1,4,39,0,9,44,0,4,4,2,18,3,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
104,54,0,2,2,3,5,10371,98,25,12,6,3,3,2,64,1,9,37,6,1,4,2,22,3,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
105,59,0,0,4,2,5,17547,49,24,11,8,4,2,3,58,1,3,38,2,3,3,1,8,2,0,3.0,Positive,I am happy with my job and work-life balance.
106,41,0,1,3,1,2,6144,65,21,9,7,2,3,2,14,0,8,40,13,1,1,4,34,2,0,1.75,Negative,I am dissatisfied with my job and work-life balance.
107,46,1,0,0,1,4,16990,32,6,3,5,1,3,2,0,1,4,56,11,2,2,3,9,2,0,2.0,Neutral,"My job is okay, not too good or bad."
108,54,0,2,0,0,2,17083,86,11,3,3,2,5,3,10,1,3,31,13,4,2,4,7,2,0,3.25,Positive,I am happy with my job and work-life balance.
109,20,1,1,4,0,5,19626,44,28,7,0,1,4,3,54,1,1,56,3,1,3,2,30,1,0,2.25,Negative,I am dissatisfied with my job and work-life balance.
110,54,0,0,2,3,5,10954,58,26,7,5,2,5,3,1,1,5,42,12,1,2,3,18,1,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
111,56,1,1,4,0,3,10269,67,17,6,2,2,2,3,64,1,4,33,15,4,2,4,27,4,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
112,33,1,2,4,1,3,10130,24,10,3,5,1,2,1,94,1,1,56,15,3,1,1,16,3,1,1.75,Negative,I am dissatisfied with my job and work-life balance.
113,22,0,0,1,3,1,9828,66,12,14,5,1,5,4,43,1,8,38,4,1,4,4,21,3,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
114,20,0,2,3,3,5,11844,63,17,13,3,2,4,4,15,0,8,34,19,4,4,3,5,4,0,3.5,Positive,I am happy with my job and work-life balance.
115,24,0,2,0,0,3,17220,25,4,7,1,2,5,3,21,1,8,48,5,2,3,3,29,4,1,3.0,Positive,I am happy with my job and work-life balance.
116,45,0,1,2,1,2,9331,80,2,5,8,2,2,4,17,1,3,51,5,2,4,3,47,4,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
117,33,1,0,0,3,4,16397,72,11,7,1,4,4,4,46,1,6,32,17,4,4,3,37,1,1,4.0,Positive,I am happy with my job and work-life balance.
118,58,0,2,0,1,2,13291,50,7,2,2,4,2,4,80,0,7,59,5,1,3,4,43,4,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
119,46,0,2,3,1,4,13164,47,2,6,9,3,4,4,29,0,9,50,6,4,3,1,22,3,0,3.5,Positive,I am happy with my job and work-life balance.
120,28,0,0,0,1,3,13450,61,26,14,0,4,4,3,9,1,5,32,15,4,4,1,14,4,0,4.0,Positive,I am happy with my job and work-life balance.
121,34,1,2,0,0,1,5035,27,18,8,6,4,5,2,98,0,9,35,8,1,1,3,19,2,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
122,34,1,2,4,2,2,14463,54,21,1,0,1,5,2,57,0,6,57,12,3,3,1,35,3,0,3.0,Positive,I am happy with my job and work-life balance.
123,45,0,0,3,2,2,10977,82,4,4,8,3,5,2,61,1,4,39,11,3,2,4,24,3,0,3.25,Positive,I am happy with my job and work-life balance.
124,32,1,0,1,3,2,15182,56,8,11,0,3,4,1,84,0,1,34,18,2,3,1,42,3,0,3.0,Positive,I am happy with my job and work-life balance.
125,51,0,0,2,1,4,3298,33,20,1,4,4,4,4,79,1,1,59,0,3,2,2,6,1,0,3.25,Positive,I am happy with my job and work-life balance.
126,58,1,0,0,0,3,3923,96,14,14,6,1,2,3,5,0,5,54,7,4,3,1,3,1,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
127,51,1,1,2,1,2,16331,33,12,1,2,1,3,3,66,1,3,32,3,1,3,3,34,3,0,2.0,Neutral,"My job is okay, not too good or bad."
128,23,1,0,1,1,2,9578,72,22,10,8,3,5,1,40,0,5,51,18,2,4,1,45,2,1,3.5,Positive,I am happy with my job and work-life balance.
129,49,1,1,2,0,1,7875,37,21,12,7,1,2,3,42,1,5,53,4,3,4,1,2,3,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
130,56,0,1,1,2,1,15254,68,27,14,2,2,2,2,84,1,1,36,16,4,4,1,15,1,0,3.0,Positive,I am happy with my job and work-life balance.
131,42,0,1,4,1,3,13905,94,18,14,4,4,1,1,76,0,8,51,2,2,1,1,37,2,0,2.0,Neutral,"My job is okay, not too good or bad."
132,58,0,2,0,1,3,16353,79,11,11,6,2,5,3,17,1,5,59,18,1,4,2,15,3,0,3.0,Positive,I am happy with my job and work-life balance.
133,34,1,1,1,2,5,18882,26,29,8,3,3,2,1,57,1,5,47,0,3,4,4,32,1,0,3.0,Positive,I am happy with my job and work-life balance.
134,48,0,1,2,0,1,12663,38,28,7,4,3,1,1,59,0,9,52,0,4,3,3,21,2,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
135,55,0,2,0,3,5,3941,48,8,12,2,1,5,3,87,1,8,37,19,1,3,3,17,4,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
136,32,0,2,4,2,4,4907,67,2,10,8,1,4,2,26,1,1,30,8,4,1,1,34,4,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
137,51,1,2,0,3,5,7837,22,25,13,9,3,1,3,67,0,3,54,4,4,2,4,32,3,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
138,26,1,0,1,3,2,16680,32,15,1,8,3,4,4,21,1,7,33,6,4,3,1,47,4,0,3.5,Positive,I am happy with my job and work-life balance.
139,41,1,2,4,2,5,8696,71,9,11,6,2,3,4,23,0,1,53,5,1,3,2,23,1,0,2.25,Negative,I am dissatisfied with my job and work-life balance.
140,47,0,2,2,1,3,19226,19,19,14,9,2,3,3,39,1,1,55,16,2,2,4,35,2,0,2.25,Negative,I am dissatisfied with my job and work-life balance.
141,21,0,1,4,3,4,16543,40,20,13,1,1,3,2,73,0,5,36,16,4,1,4,37,3,1,2.25,Negative,I am dissatisfied with my job and work-life balance.
142,25,0,2,4,3,2,15615,44,8,2,6,2,3,4,65,0,9,43,12,2,3,4,43,2,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
143,47,1,0,3,0,5,4466,68,25,4,6,1,2,4,39,1,6,42,11,2,4,4,41,2,0,2.25,Negative,I am dissatisfied with my job and work-life balance.
144,47,1,2,4,1,4,3375,27,19,1,4,1,3,3,5,0,2,39,3,3,1,1,37,2,1,2.0,Neutral,"My job is okay, not too good or bad."
145,39,0,0,4,3,4,3262,97,5,3,8,4,2,3,17,1,9,52,7,3,2,2,33,1,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
146,49,1,2,0,0,2,14580,43,11,8,2,1,2,3,80,1,6,47,4,2,2,4,25,3,0,1.75,Negative,I am dissatisfied with my job and work-life balance.
147,30,1,2,2,1,5,13136,17,15,8,3,2,5,1,86,0,5,30,4,3,4,3,46,4,0,3.5,Positive,I am happy with my job and work-life balance.
148,47,1,2,0,2,4,10833,72,8,8,0,3,2,1,29,1,5,33,12,3,4,3,37,2,1,3.0,Positive,I am happy with my job and work-life balance.
149,44,1,2,0,2,4,4893,90,19,6,5,3,2,1,20,1,3,57,10,2,4,2,40,2,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
150,58,0,0,1,0,1,11106,16,23,6,3,2,3,3,61,0,6,45,7,1,1,3,21,2,0,1.75,Negative,I am dissatisfied with my job and work-life balance.
151,52,1,0,0,2,4,14826,89,27,5,0,3,2,2,9,1,4,45,7,3,2,1,46,1,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
152,20,1,1,3,3,1,4652,42,8,13,1,1,4,4,12,1,2,47,0,3,4,1,48,4,0,3.0,Positive,I am happy with my job and work-life balance.
153,46,1,0,3,1,5,3599,96,26,9,2,3,3,1,75,0,3,37,12,1,4,2,38,2,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
154,32,1,2,1,3,5,11792,91,27,4,8,2,1,2,8,1,9,39,4,1,2,4,40,1,0,1.5,Negative,I am dissatisfied with my job and work-life balance.
155,22,0,1,2,3,5,6637,90,19,10,7,3,3,3,67,1,9,45,7,1,3,3,34,1,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
156,58,0,1,2,2,3,13355,16,18,12,6,1,2,1,38,0,6,52,16,2,1,3,19,2,0,1.5,Negative,I am dissatisfied with my job and work-life balance.
157,25,1,1,0,3,5,18989,21,10,12,3,1,4,3,23,1,9,53,12,1,3,2,27,2,0,2.25,Negative,I am dissatisfied with my job and work-life balance.
158,27,1,2,0,2,4,12290,40,29,12,0,2,3,2,33,1,4,40,8,2,4,2,9,1,1,2.75,Negative,I am dissatisfied with my job and work-life balance.
159,46,1,0,0,1,2,8599,90,7,7,7,2,4,1,60,0,5,35,1,4,1,3,5,1,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
160,28,1,2,2,1,1,17342,30,28,1,3,2,1,1,40,1,6,30,18,4,3,4,5,2,1,2.5,Negative,I am dissatisfied with my job and work-life balance.
161,56,1,1,4,3,3,16945,37,9,9,2,4,1,1,4,1,9,59,19,1,2,2,25,1,0,2.0,Neutral,"My job is okay, not too good or bad."
162,52,1,2,3,0,5,13762,54,1,7,8,4,5,1,78,0,5,58,16,1,4,1,26,1,0,3.5,Positive,I am happy with my job and work-life balance.
163,43,0,2,4,2,5,17312,74,19,10,9,1,5,2,49,0,8,58,6,4,1,3,19,2,1,2.75,Negative,I am dissatisfied with my job and work-life balance.
164,34,1,0,4,2,2,10382,87,5,12,3,4,3,1,3,1,1,41,2,2,1,2,30,2,0,2.5,Negative,I am dissatisfied with my job and work-life balance.
165,51,0,0,2,3,2,11982,46,19,9,3,4,5,4,50,1,5,54,18,2,1,2,36,3,0,3.0,Positive,I am happy with my job and work-life balance.
166,51,0,1,4,2,3,10707,29,1,7,8,3,4,4,51,0,1,35,18,1,1,2,48,4,0,2.25,Negative,I am dissatisfied with my job and work-life balance.
167,43,1,2,1,2,1,7633,27,15,2,1,4,5,3,38,1,6,57,8,1,4,3,48,2,1,3.5,Positive,I am happy with my job and work-life balance.
168,31,0,2,0,0,5,12269,19,16,6,4,3,4,1,7,1,7,42,9,1,4,1,16,2,0,3.0,Positive,I am happy with my job and work-life balance.
169,58,0,0,1,0,3,16778,89,23,10,3,2,5,4,44,1,5,55,13,4,2,1,7,2,1,3.25,Positive,I am happy with my job and work-life balance.
170,21,0,2,3,3,4,10008,88,7,12,8,3,5,4,87,0,1,46,17,3,2,3,18,4,0,3.25,Positive,I am happy with my job and work-life balance.
171,22,0,2,0,0,4,18523,66,26,11,4,3,5,4,27,1,6,30,14,1,2,2,21,3,0,2.75,Negative,I am dissatisfied with my job and work-life balance.
172,56,0,2,4,3,3,6618,91,12,4,8,2,2,2,26,1,5,37,0,2,3,3,31,1,0,2.25,Negative,I am dissatisfied with my job and work-life balance.
173,36,0,0,3,1,5,3272,55,8,3,8,2,2,1,64,0,6,51,5,3,2,3,1,4,1,2.25,Negative,I am dissatisfied with my job and work-life balance.
174,21,1,1,0,3,3,16007,67,5,2,1,1,5,2,33,0,7,37,14,2,4,2,3,2,0,3.0,Positive,I am happy with my job and work-life balance.
